character #1, character #2, similarity
r, 0, 0.36387083352417166
0, r, 0.36387083352417166
S, 0, 0.6004408607282947
0, S, 0.6004408607282947
s, 0, 0.48867378403904155
0, s, 0.48867378403904155
T, 0, 0.34449568944507153
0, T, 0.34449568944507153
t, 0, 0.49266213553191845
0, t, 0.49266213553191845
U, 0, 0.6312987867110733
0, U, 0.6312987867110733
u, 0, 0.48686044327557326
0, u, 0.48686044327557326
V, 0, 0.531011347126031
0, V, 0.531011347126031
v, 0, 0.39491355404184975
0, v, 0.39491355404184975
W, 0, 0.6305910799141269
0, W, 0.6305910799141269
w, 0, 0.5811173804111515
0, w, 0.5811173804111515
X, 0, 0.4998045589348662
0, X, 0.4998045589348662
x, 0, 0.4487401623520939
0, x, 0.4487401623520939
Y, 0, 0.36579090133849385
0, Y, 0.36579090133849385
y, 0, 0.4115393814645681
0, y, 0.4115393814645681
Z, 0, 0.507601803330287
0, Z, 0.507601803330287
z, 0, 0.366867475670004
0, z, 0.366867475670004
2, 1, 0.507919587051385
1, 2, 0.507919587051385
3, 1, 0.4530830138522236
1, 3, 0.4530830138522236
4, 1, 0.45522750378090815
1, 4, 0.45522750378090815
5, 1, 0.35369215442396507
1, 5, 0.35369215442396507
6, 1, 0.35127109179174176
1, 6, 0.35127109179174176
7, 1, 0.33270810569965503
1, 7, 0.33270810569965503
8, 1, 0.3784474758523859
1, 8, 0.3784474758523859
9, 1, 0.35990431041643806
1, 9, 0.35990431041643806
A, 1, 0.406761459186846
1, A, 0.406761459186846
a, 1, 0.44279042404892427
1, a, 0.44279042404892427
B, 1, 0.4104960456160737
1, B, 0.4104960456160737
b, 1, 0.39169922290187204
1, b, 0.39169922290187204
C, 1, 0.34946007608598323
1, C, 0.34946007608598323
c, 1, 0.3026596203974894
1, c, 0.3026596203974894
D, 1, 0.34932060013095606
1, D, 0.34932060013095606
d, 1, 0.4640282257358992
1, d, 0.4640282257358992
E, 1, 0.4723223718378937
1, E, 0.4723223718378937
e, 1, 0.27513540157642347
1, e, 0.27513540157642347
F, 1, 0.32112246501513014
1, F, 0.32112246501513014
f, 1, 0.35159602986301053
1, f, 0.35159602986301053
G, 1, 0.3283040805306432
1, G, 0.3283040805306432
g, 1, 0.34702294000212497
1, g, 0.34702294000212497
H, 1, 0.2741105816883281
1, H, 0.2741105816883281
h, 1, 0.3772712904039025
1, h, 0.3772712904039025
I, 1, 0.7579850247712845
1, I, 0.7579850247712845
i, 1, 0.7262245215403331
1, i, 0.7262245215403331
J, 1, 0.6575773191777938
1, J, 0.6575773191777938
j, 1, 0.4624217304862952
1, j, 0.4624217304862952
K, 1, 0.3699897413057539
1, K, 0.3699897413057539
k, 1, 0.3881250263784389
1, k, 0.3881250263784389
L, 1, 0.627021687466912
1, L, 0.627021687466912
l, 1, 0.8106221356219474
1, l, 0.8106221356219474
M, 1, 0.25719057455866884
1, M, 0.25719057455866884
m, 1, 0.31633928850099985
1, m, 0.31633928850099985
N, 1, 0.31062805441451746
1, N, 0.31062805441451746
n, 1, 0.37905466451166386
1, n, 0.37905466451166386
O, 1, 0.3459971411805044
1, O, 0.3459971411805044
o, 1, 0.3144767193912276
1, o, 0.3144767193912276
P, 1, 0.29493147745253057
1, P, 0.29493147745253057
p, 1, 0.3249563220074518
1, p, 0.3249563220074518
Q, 1, 0.27543885272993546
1, Q, 0.27543885272993546
q, 1, 0.377072290129124
1, q, 0.377072290129124
R, 1, 0.4538420651593752
1, R, 0.4538420651593752
r, 1, 0.27771824841551357
1, r, 0.27771824841551357
S, 1, 0.44573944002358945
1, S, 0.44573944002358945
s, 1, 0.3654994515632499
1, s, 0.3654994515632499
T, 1, 0.47261783671926283
1, T, 0.47261783671926283
t, 1, 0.5333722768126128
1, t, 0.5333722768126128
U, 1, 0.37220558678709303
1, U, 0.37220558678709303
u, 1, 0.3626233186547882
1, u, 0.3626233186547882
