character #1, character #2, similarity
2, J, 0.5144026399331769
J, 2, 0.5144026399331769
n, J, 0.42848892934917976
J, n, 0.42848892934917976
3, J, 0.6462042874769662
J, 3, 0.6462042874769662
R, J, 0.41128441490291573
J, R, 0.41128441490291573
E, J, 0.48083930723727936
J, E, 0.48083930723727936
G, J, 0.44369749923271273
J, G, 0.44369749923271273
P, J, 0.3207360860770588
J, P, 0.3207360860770588
1, J, 0.6575773191777938
J, 1, 0.6575773191777938
w, J, 0.34402686479347616
J, w, 0.34402686479347616
0, J, 0.43933269383026263
J, 0, 0.43933269383026263
Q, J, 0.381439686249724
J, Q, 0.381439686249724
F, J, 0.36121720164729776
J, F, 0.36121720164729776
b, J, 0.34996198912183635
J, b, 0.34996198912183635
x, H, 0.29858631910903644
H, x, 0.29858631910903644
m, H, 0.46442698409145683
H, m, 0.46442698409145683
I, H, 0.27826331261225834
H, I, 0.27826331261225834
Z, H, 0.31471657292225325
H, Z, 0.31471657292225325
M, H, 0.6366749040653779
H, M, 0.6366749040653779
l, H, 0.3577177540282236
H, l, 0.3577177540282236
y, H, 0.3046266578924131
H, y, 0.3046266578924131
L, H, 0.4226024441644589
H, L, 0.4226024441644589
Y, H, 0.26036635966454585
H, Y, 0.26036635966454585
8, H, 0.5192677054392241
H, 8, 0.5192677054392241
N, H, 0.6917556443901303
H, N, 0.6917556443901303
u, H, 0.5296231351368305
H, u, 0.5296231351368305
O, H, 0.5053644977028319
H, O, 0.5053644977028319
9, H, 0.49358936917835
H, 9, 0.49358936917835
X, H, 0.4351079587845349
H, X, 0.4351079587845349
k, H, 0.5133334273741071
H, k, 0.5133334273741071
r, H, 0.42131276113022814
H, r, 0.42131276113022814
g, H, 0.5838762023977495
H, g, 0.5838762023977495
f, H, 0.4017857787400693
H, f, 0.4017857787400693
s, H, 0.30729855324321437
H, s, 0.30729855324321437
j, H, 0.3632313573309685
H, j, 0.3632313573309685
i, H, 0.31091680108206493
H, i, 0.31091680108206493
e, H, 0.42295010495389956
H, e, 0.42295010495389956
p, H, 0.5258801012610023
H, p, 0.5258801012610023
q, H, 0.5234558808893959
H, q, 0.5234558808893959
d, H, 0.5515097759508988
H, d, 0.5515097759508988
h, H, 0.6385540818643634
H, h, 0.6385540818643634
U, H, 0.7071799743808486
H, U, 0.7071799743808486
4, H, 0.4101417264450397
H, 4, 0.4101417264450397
c, H, 0.23603749008416985
H, c, 0.23603749008416985
B, H, 0.6776319488056768
H, B, 0.6776319488056768
v, H, 0.3043410242699842
H, v, 0.3043410242699842
C, H, 0.3358322048348891
H, C, 0.3358322048348891
5, H, 0.40139137371244893
H, 5, 0.40139137371244893
T, H, 0.3839615083361177
H, T, 0.3839615083361177
V, H, 0.3979400086720376
H, V, 0.3979400086720376
7, H, 0.21021256843580058
H, 7, 0.21021256843580058
A, H, 0.37320668671224844
H, A, 0.37320668671224844
o, H, 0.4402001095204128
H, o, 0.4402001095204128
z, H, 0.17397789974228212
H, z, 0.17397789974228212
6, H, 0.45220052425853496
H, 6, 0.45220052425853496
W, H, 0.5867207210243817
H, W, 0.5867207210243817
D, H, 0.6047000874941708
H, D, 0.6047000874941708
S, H, 0.4071060921651265
H, S, 0.4071060921651265
2, H, 0.34693973670190476
H, 2, 0.34693973670190476
n, H, 0.4920984106893152
H, n, 0.4920984106893152
